Departure Date,Airline,Price (AUD)
2024-12-01,FJ,575.98
2024-12-01,MF,601.61
2024-12-01,PR,638.74
2024-12-01,PR,638.74
2024-12-01,NH,743.78
2024-12-01,NH,743.78
2024-12-01,FJ,743.98
2024-12-01,CI,789.95
2024-12-01,CI,789.95
2024-12-01,TN,842.88
2024-12-01,TN,842.88
2024-12-01,TN,842.88
2024-12-01,OZ,884.5
2024-12-01,OZ,884.5
2024-12-01,FJ,929.1
2024-12-01,NH,933.31
2024-12-02,FJ,575.98
2024-12-02,FJ,575.98
2024-12-02,PR,623.74
2024-12-02,PR,623.74
2024-12-02,NH,733.31
2024-12-02,NH,743.78
2024-12-02,NH,743.78
2024-12-02,CI,789.95
2024-12-02,OZ,792.5
2024-12-02,OZ,792.5
2024-12-02,UA,986.23
2024-12-03,MF,601.61
2024-12-03,PR,623.74
2024-12-03,PR,623.74
2024-12-03,NH,733.31
2024-12-03,NH,733.31
2024-12-03,NH,743.78
2024-12-03,NH,743.78
2024-12-03,CI,789.95
2024-12-03,CI,789.95
2024-12-03,CI,789.95
2024-12-03,OZ,792.5
2024-12-03,OZ,792.5
2024-12-03,UA,922.23
2024-12-03,UA,927.25
2024-12-03,HA,963.5
2024-12-03,UA,967.25
2024-12-03,FJ,971.04
2024-12-03,FJ,971.04
2024-12-03,FJ,979.98
2024-12-03,FJ,979.98
2024-12-03,UA,991.25
2024-12-04,FJ,575.98
2024-12-04,FJ,575.98
2024-12-04,PR,623.74
2024-12-04,PR,623.74
2024-12-04,NH,733.31
2024-12-04,NH,733.31
2024-12-04,NH,738.33
2024-12-04,NH,738.33
2024-12-04,NH,743.78
2024-12-04,NH,743.78
2024-12-04,CI,789.95
2024-12-04,CI,789.95
2024-12-04,OZ,792.5
2024-12-04,OZ,792.5
2024-12-04,TN,882.89
2024-12-04,UA,922.23
2024-12-04,UA,927.25
2024-12-04,UA,967.25
2024-12-04,UA,967.25
2024-12-04,UA,991.25
2024-12-05,FJ,575.98
2024-12-05,FJ,575.98
2024-12-05,MF,601.61
2024-12-05,PR,623.74
2024-12-05,PR,623.74
2024-12-05,NH,733.31
2024-12-05,NH,733.31
2024-12-05,NH,738.33
2024-12-05,NH,743.78
2024-12-05,NH,743.78
2024-12-05,OZ,792.5
2024-12-05,TN,842.88
2024-12-05,TN,842.88
2024-12-05,TN,842.88
2024-12-05,NH,858.33
2024-12-05,UA,922.23
2024-12-05,UA,927.25
2024-12-05,CX,966.97
2024-12-05,CX,966.97
2024-12-05,CX,966.97
2024-12-05,UA,967.25
2024-12-05,UA,967.25
2024-12-05,FJ,979.04
2024-12-05,UA,991.25
2024-12-05,CX,991.97
2024-12-06,PR,638.74
2024-12-06,PR,638.74
2024-12-06,FJ,663.98
2024-12-06,FJ,663.98
2024-12-06,NH,733.31
2024-12-06,NH,733.31
2024-12-06,NH,743.78
2024-12-06,NH,743.78
2024-12-06,NH,748.8
2024-12-06,OZ,792.5
2024-12-06,OZ,792.5
2024-12-06,HA,912.5
2024-12-06,HA,912.5
2024-12-06,HA,912.5
2024-12-06,HA,912.5
2024-12-06,HA,926.5
2024-12-06,FJ,929.1
2024-12-06,HA,941.45
2024-12-06,HA,978.47
2024-12-06,HA,978.47
2024-12-06,HA,978.47
2024-12-06,HA,978.47
2024-12-06,HA,978.47
2024-12-06,HA,978.47
2024-12-06,HA,978.47
2024-12-06,HA,978.47
2024-12-06,FJ,979.04
2024-12-06,FJ,979.04
2024-12-06,UA,982.23
2024-12-06,HA,985.5
2024-12-06,UA,987.25
2024-12-06,HA,989.45
2024-12-06,HA,989.45
2024-12-06,HA,992.45
2024-12-06,HA,992.45
2024-12-06,HA,992.45
2024-12-06,CX,992.97
2024-12-06,CX,992.97
2024-12-07,FJ,575.98
2024-12-07,FJ,575.98
2024-12-07,PR,638.74
2024-12-07,PR,638.74
2024-12-07,NH,733.31
2024-12-07,NH,733.31
2024-12-07,NH,738.33
2024-12-07,NH,738.33
2024-12-07,NH,743.78
2024-12-07,NH,743.78
2024-12-07,OZ,792.5
2024-12-07,HA,834.5
2024-12-07,HA,834.5
2024-12-07,HA,834.5
2024-12-07,HA,834.5
2024-12-07,HA,834.5
2024-12-07,HA,834.5
2024-12-07,HA,844.45
2024-12-07,HA,844.45
2024-12-07,HA,849.47
2024-12-07,HA,849.47
2024-12-07,HA,849.47
2024-12-07,HA,849.47
2024-12-07,HA,849.47
