Departure Date,Origin City,Destination City,Airline,Price (AUD)
2024-12-01,Sydney (SYD),Los Angeles (LAX),FJ,579.9
2024-12-01,Sydney (SYD),Los Angeles (LAX),MF,606.67
2024-12-01,Sydney (SYD),Los Angeles (LAX),PR,644.3
2024-12-01,Sydney (SYD),Los Angeles (LAX),PR,644.3
2024-12-01,Sydney (SYD),Los Angeles (LAX),FJ,749.9
2024-12-01,Sydney (SYD),Los Angeles (LAX),NH,750.29
2024-12-01,Sydney (SYD),Los Angeles (LAX),NH,750.29
2024-12-01,Sydney (SYD),Los Angeles (LAX),CI,796.62
2024-12-01,Sydney (SYD),Los Angeles (LAX),TN,849.75
2024-12-01,Sydney (SYD),Los Angeles (LAX),TN,849.75
2024-12-01,Sydney (SYD),Los Angeles (LAX),TN,849.75
2024-12-01,Sydney (SYD),Los Angeles (LAX),OZ,892.45
2024-12-01,Sydney (SYD),Los Angeles (LAX),NH,941.84
2024-12-01,Sydney (SYD),Los Angeles (LAX),NH,1027.92
2024-12-01,Sydney (SYD),Los Angeles (LAX),NH,1027.92
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,1095.45
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,1095.45
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,1095.45
2024-12-01,Sydney (SYD),Los Angeles (LAX),AC,1102.68
2024-12-01,Sydney (SYD),Los Angeles (LAX),AC,1102.68
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,1121.38
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,1121.38
2024-12-01,Sydney (SYD),Los Angeles (LAX),FJ,1168.06
2024-12-01,Sydney (SYD),Los Angeles (LAX),UA,1171.68
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,1195.38
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,1195.38
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,1195.38
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,1195.38
2024-12-01,Sydney (SYD),Los Angeles (LAX),FJ,1214.06
2024-12-01,Sydney (SYD),Los Angeles (LAX),KE,1254.33
2024-12-01,Sydney (SYD),Los Angeles (LAX),QF,1255.3
2024-12-01,Sydney (SYD),Los Angeles (LAX),QF,1255.9
2024-12-01,Sydney (SYD),Los Angeles (LAX),QF,1277.91
2024-12-01,Sydney (SYD),Los Angeles (LAX),QF,1277.91
2024-12-01,Sydney (SYD),Los Angeles (LAX),QF,1283.98
2024-12-01,Sydney (SYD),Los Angeles (LAX),QF,1283.98
2024-12-01,Sydney (SYD),Los Angeles (LAX),NZ,1292.63
2024-12-01,Sydney (SYD),Los Angeles (LAX),NH,1345.84
2024-12-01,Sydney (SYD),Los Angeles (LAX),NH,1361.37
2024-12-01,Sydney (SYD),Los Angeles (LAX),NZ,1417.63
2024-12-01,Sydney (SYD),Los Angeles (LAX),NZ,1417.63
2024-12-01,Sydney (SYD),Los Angeles (LAX),NZ,1417.63
2024-12-01,Sydney (SYD),Los Angeles (LAX),QR,1423.23
2024-12-01,Sydney (SYD),Los Angeles (LAX),QR,1518.54
2024-12-01,Sydney (SYD),Los Angeles (LAX),QR,1518.54
2024-12-01,Sydney (SYD),Los Angeles (LAX),EK,1544.48
2024-12-01,Sydney (SYD),Los Angeles (LAX),QF,1835.75
2024-12-01,Sydney (SYD),Los Angeles (LAX),LA,1960.1
2024-12-01,Sydney (SYD),Los Angeles (LAX),LA,2020.14
2024-12-01,Sydney (SYD),Los Angeles (LAX),HA,2472.38
2024-12-01,Sydney (SYD),Los Angeles (LAX),UA,3588.76
2024-12-01,Sydney (SYD),Los Angeles (LAX),UA,3588.76
2024-12-01,Sydney (SYD),Los Angeles (LAX),CZ,4456.12
2024-12-01,Sydney (SYD),Los Angeles (LAX),MU,4579.99
2024-12-01,Sydney (SYD),Los Angeles (LAX),BR,4898.24
2024-12-01,Sydney (SYD),Los Angeles (LAX),UA,6356.76
2024-12-02,Sydney (SYD),Los Angeles (LAX),FJ,579.9
2024-12-02,Sydney (SYD),Los Angeles (LAX),FJ,579.9
2024-12-02,Sydney (SYD),Los Angeles (LAX),PR,628.3
2024-12-02,Sydney (SYD),Los Angeles (LAX),PR,628.3
2024-12-02,Sydney (SYD),Los Angeles (LAX),NH,739.84
2024-12-02,Sydney (SYD),Los Angeles (LAX),NH,750.29
2024-12-02,Sydney (SYD),Los Angeles (LAX),NH,750.29
2024-12-02,Sydney (SYD),Los Angeles (LAX),CI,796.62
2024-12-02,Sydney (SYD),Los Angeles (LAX),CI,796.62
2024-12-02,Sydney (SYD),Los Angeles (LAX),OZ,798.45
2024-12-02,Sydney (SYD),Los Angeles (LAX),OZ,798.45
2024-12-02,Sydney (SYD),Los Angeles (LAX),UA,994.68
2024-12-02,Sydney (SYD),Los Angeles (LAX),KE,1012.33
2024-12-02,Sydney (SYD),Los Angeles (LAX),NH,1027.92
2024-12-02,Sydney (SYD),Los Angeles (LAX),NH,1027.92
2024-12-02,Sydney (SYD),Los Angeles (LAX),AC,1158.68
2024-12-02,Sydney (SYD),Los Angeles (LAX),AC,1158.68
