Date,Date,Los Angeles Airport,Dallas Fort Worth Airport,Denver Airport,Melbourne Airport
0,2025-01-01,0.75328165,0.81421018,0.79347366,0.79333460
1,2025-01-02,0.71784103,0.78806502,0.76910043,0.76641703
2,2025-01-03,0.69853806,0.77788663,0.76199031,0.75623870
3,2025-01-04,0.77152538,0.82214165,0.80317706,0.79253030
4,2025-01-05,0.65308994,0.77879655,0.71044326,0.75714862
5,2025-01-06,0.72306585,0.78963739,0.76329374,0.77320391
6,2025-01-07,0.73246706,0.79015565,0.75633454,0.77081394
7,2025-01-08,0.69444031,0.75274646,0.73178834,0.73164916
8,2025-01-09,0.72132277,0.79154670,0.77369714,0.76989871
9,2025-01-10,0.70271444,0.78206301,0.76616675,0.76041508
10,2025-01-11,0.76502836,0.81564462,0.79667997,0.79119289
11,2025-01-12,0.73481154,0.80759096,0.79087722,0.78530544
12,2025-01-13,0.72893918,0.79814243,0.78176057,0.77907729
13,2025-01-14,0.76070786,0.82117844,0.80189216,0.79905486
14,2025-01-15,0.74883980,0.81359941,0.79264116,0.79250216
15,2025-01-16,0.73583102,0.80605495,0.78686845,0.78302503
16,2025-01-17,0.70200139,0.78134990,0.76545364,0.75970197
17,2025-01-18,0.75529009,0.80406511,0.78667885,0.77603209
18,2025-01-19,0.73330569,0.80544758,0.78937149,0.78379965
19,2025-01-20,0.71362901,0.79028285,0.77390110,0.77511489
20,2025-01-21,0.75878286,0.81925344,0.80028880,0.79712987
21,2025-01-22,0.70930517,0.78247595,0.75387740,0.75340545
22,2025-01-23,0.72399801,0.79581130,0.77525735,0.77257401
23,2025-01-24,0.70077991,0.78012848,0.75913805,0.75848055
24,2025-01-25,0.80260569,0.85322195,0.83425736,0.82361060
25,2025-01-26,0.74087954,0.81302142,0.79694533,0.79137349
26,2025-01-27,0.76134646,0.83054984,0.82171059,0.81752771
27,2025-01-28,0.78277683,0.84324741,0.82428277,0.82112384
28,2025-01-29,0.79191494,0.85665977,0.83570153,0.83004487
29,2025-01-30,0.73011339,0.80033731,0.78137273,0.77868938
30,2025-01-31,0.72486818,0.80421674,0.78713447,0.77286685
31,2025-02-01,0.80917966,0.86479789,0.86560655,0.81922841
32,2025-02-02,0.77227396,0.85368693,0.84101117,0.81585914
33,2025-02-03,0.77301896,0.85149336,0.85466301,0.81624830
34,2025-02-04,0.81498647,0.88472819,0.88531506,0.84642470
35,2025-02-05,0.78357041,0.85744417,0.85791981,0.82016706
36,2025-02-06,0.76051652,0.83479738,0.82800525,0.80218399
37,2025-02-07,0.72540820,0.81124592,0.81478471,0.77620000
38,2025-02-08,0.79814106,0.85729325,0.85788012,0.81150198
39,2025-02-09,0.76640475,0.84781778,0.85240817,0.80998993
40,2025-02-10,0.76327944,0.84175384,0.84492356,0.80650884
41,2025-02-11,0.79950225,0.86924392,0.86983085,0.83610016
42,2025-02-12,0.79049385,0.86560011,0.86355579,0.82768536
43,2025-02-13,0.76372027,0.84321553,0.84380245,0.80538774
44,2025-02-14,0.74038428,0.82900387,0.83233738,0.79117608
45,2025-02-15,0.78674549,0.84619498,0.84678191,0.80040377
46,2025-02-16,0.74321246,0.82462543,0.82787883,0.78541565
47,2025-02-17,0.76256639,0.84104079,0.84421051,0.80579579
48,2025-02-18,0.79221606,0.86011654,0.86228174,0.82339144
49,2025-02-19,0.79125082,0.86571956,0.86431277,0.82844234
50,2025-02-20,0.74652910,0.83347511,0.83406198,0.79954445
51,2025-02-21,0.73899162,0.82761121,0.83126640,0.78978342
